frame,total_specific_interactions,h_bond,h_bond_star,ch_o_n,ch_o_n_star,polar_vdw,polar_vdw_star,ch_pi,proximal_only,ligand_bsa_a2,ligand_bsa_pct
1,98,7,12,34,1,35,8,1,4,775.7,46.61
2,81,7,10,24,4,32,3,1,4,792.94,47.65
3,83,7,10,24,3,33,5,1,5,792.5,47.62
4,85,5,12,29,1,31,6,1,4,786.82,47.28
5,88,7,11,29,1,30,9,1,4,778.37,46.77
6,90,7,11,30,0,32,9,1,4,770.85,46.32
7,98,7,12,32,3,32,11,1,4,771.52,46.36
8,98,6,13,28,7,32,11,1,4,775.84,46.62
9,95,5,12,30,4,34,9,1,4,782.43,47.02
10,90,9,9,30,2,35,4,1,4,790.09,47.48
